Date,DeltaCases,DeltaDeaths
2016-09-11,,6
2016-09-18,9,
2016-09-25,3,
2016-10-01,80,
2016-10-02,66,9
2016-10-03,76,
2016-10-04,62,
2016-10-05,95,
2016-10-06,122,
2016-10-07,124,
2016-10-08,186,
2016-10-09,213,
2016-10-10,188,
2016-10-11,183,
2016-10-12,142,
2016-10-13,136,
2016-10-14,191,
2016-10-15,164,
2016-10-16,200,31
2016-10-17,238,
2016-10-18,222,
2016-10-19,217,
2016-10-20,221,
2016-10-21,167,
2016-10-22,216,
2016-10-23,195,13
2016-10-24,248,
2016-10-25,174,
2016-10-26,160,
2016-10-27,181,
2016-10-28,142,
2016-10-29,119,
2016-10-30,120,8
2016-10-31,120,
2016-11-01,114,
2016-11-02,134,
2016-11-06,,10
